"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
136.1,255,0.005,1.21,49.3,0.5,6008000702,43.67833164,-79.67950823
101.9,130,0.008,0.42,2.7,0.27,6008000702,43.67833164,-79.67950823
85,360,0.007,0.28,6.3,0.45,6008000702,43.67833164,-79.67950823
115.9,445,0.014,0.72,54.6,0.47,6008000702,43.67833164,-79.67950823
115,170,0.005,0.48,4.1,0.3,6008000702,43.67833164,-79.67950823
91.7,270,0.008,0.5,4.5,0.32,6008000702,43.67833164,-79.67950823
124.1,530,0.026,0.58,16.2,0.47,6008000702,43.67833164,-79.67950823
115.6,240,0.029,0.59,15.8,0.47,6008000702,43.67833164,-79.67950823
104.2,180,0.027,0.68,62.8,0.47,6008000702,43.67833164,-79.67950823
108,130,0.013,1.01,163,0.49,6008000702,43.67833164,-79.67950823
98,240,0.075,0.29,17.3,0.47,6008000702,43.67833164,-79.67950823
116,525,0.033,1.1,160,0.49,6008000702,43.67833164,-79.67950823
146.8,160,0.025,0.4,6.3,0.45,6008000702,43.67833164,-79.67950823
122.9,220,0.029,0.9,10,0.49,6008000702,43.67833164,-79.67950823
122.8,305,0.031,0.37,2,0.21,6008000702,43.67833164,-79.67950823
121.7,265,0.006,0.24,6.2,0.45,6008000702,43.67833164,-79.67950823
159.7,250,0.006,0.37,3.1,0.29,6008000702,43.67833164,-79.67950823
136.8,270,0.003,0.44,2.9,0.28,6008000702,43.67833164,-79.67950823
108.3,295,0.016,0.32,2.9,0.26,6008000702,43.67833164,-79.67950823
99.1,190,0.002,0.45,8.3,0.46,6008000702,43.67833164,-79.67950823
125,300,0.026,0.53,7.9,0.47,6008000702,43.67833164,-79.67950823
-99,350,0.005,0.48,2.4,0.24,6008000702,43.67833164,-79.67950823
121.8,120,0.035,0.99,19.8,0.49,6008000702,43.67833164,-79.67950823
100,510,0.039,0.57,13.8,0.47,6008000702,43.67833164,-79.67950823
117.2,160,0.006,0.43,5.1,0.38,6008000702,43.67833164,-79.67950823
132.6,290,0.127,0.9,21.2,0.49,6008000702,43.67833164,-79.67950823
129.1,100,0.011,0.33,1.5,0.19,6008000702,43.67833164,-79.67950823
88,445,0.007,0.4,0.8,0.17,6008000702,43.67833164,-79.67950823
119.1,195,0.026,0.34,5,0.37,6008000702,43.67833164,-79.67950823
