"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
151.6,295.0,0.053,0.51,1.1,0.18650699999999926
182.8,145.0,0.005,0.42,17.8,0.46728799999999626
114.9,210.0,0.051,0.43,1.0,0.15804200000000038
121.5,210.0,0.009,0.44,3.7,0.2875490000000019
131.4,210.0,0.061,1.27,95.6,0.501400999999996
96.0,110.0,0.043,0.44,8.4,0.46197599999999445
101.0,140.0,0.007,0.46,3.5,0.2898420000000017
134.0,280.0,0.04,0.51,3.5,0.3067320000000006
135.4,155.0,0.002,0.43,9.2,0.4747429999999946
125.0,105.0,0.002,0.4,2.3,0.2135459999999981
125.8,300.0,0.33,0.67,4.1,0.3261359999999992
122.0,160.0,0.004,0.52,2.1,0.2606979999999976
135.9,190.0,0.036,0.34,3.9,0.28164900000000237
102.3,410.0,0.037,1.56,4.7,0.42485399999999834
147.0,210.0,0.131,0.49,7.9,0.4635809999999942
96.0,130.0,0.14,0.77,37.8,0.47402799999999573
127.5,320.0,0.839,0.39,4.4,0.32766300000000276
139.4,90.0,0.164,0.61,4.2,0.33569099999999935
114.4,200.0,0.003,0.68,28.7,0.4736589999999957
116.0,205.0,0.021,1.19,6.3,0.4885979999999962
97.9,235.0,0.002,0.4,1.7,0.20219399999999896
143.5,140.0,0.004,0.56,10.0,0.4810459999999942
109.2,220.0,0.005,0.66,44.5,0.4736589999999957
106.0,315.0,0.093,0.28,4.1,0.2679920000000021
122.3,205.0,0.038,0.71,28.6,0.4736589999999957
115.8,240.0,0.006,0.42,4.6,0.31057100000000115
114.0,150.0,0.011,0.47,2.8,0.2767700000000002
