"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
125.2,205.0,0.042,0.47,8.1,0.46
109.8,200.0,0.011,0.43,4.4,0.31
95.6,165.0,0.007,0.49,2.7,0.27
116.0,200.0,0.045,0.69,6.0,0.46
100.3,300.0,0.06,1.04,48.1,0.49
112.3,340.0,0.041,0.31,2.7,0.24
101.3,200.0,0.11,1.15,8.0,0.5
138.9,180.0,0.038,0.32,2.0,0.19
101.7,230.0,0.013,0.49,12.0,0.45
104.0,430.0,0.005,0.26,3.1,0.25
100.6,165.0,0.024,0.47,3.0,0.29
102.6,855.0,0.035,0.31,4.5,0.3
134.6,240.0,0.045,0.45,4.2,0.3
74.0,110.0,0.03,0.4,4.5,0.31
110.4,200.0,0.004,0.48,10.3,0.47
112.0,110.0,0.025,0.46,3.0,0.28
123.0,245.0,0.014,0.39,8.8,0.47
113.3,285.0,0.019,0.88,107.0,0.47
110.3,130.0,0.033,0.64,10.2,0.48
124.0,160.0,0.016,0.73,10.9,0.47
210.7,500.0,0.004,0.39,2.7,0.26
111.0,220.0,0.019,0.56,9.8,0.48
119.0,280.0,0.024,0.59,5.9,0.45
158.0,315.0,0.085,0.38,6.1,0.45
121.0,150.0,0.013,0.26,3.8,0.25
107.7,350.0,0.037,0.825,90.5,0.47
133.1,290.0,0.064,0.55,4.7,0.35
123.5,140.0,0.018,0.42,9.2,0.47
156.0,280.0,0.181,0.35,11.4,0.45
109.0,420.0,0.0009,1.93,45.7,0.52
124.0,180.0,0.008,0.52,4.4,0.34
154.9,310.0,0.1,0.61,51.2,0.47
104.3,215.0,0.008,0.51,3.6,0.31
86.8,290.0,0.0009,0.54,16.0,0.47
151.1,475.0,0.011,0.18,4.4,0.28
110.1,195.0,0.074,1.16,27.5,0.5
112.0,160.0,0.209,0.91,34.3,0.49
122.4,215.0,0.008,0.59,19.1,0.47
110.4,210.0,0.027,0.4,3.8,0.28
122.0,180.0,0.04,0.39,2.9,0.28
141.9,300.0,0.004,0.45,7.3,0.46
109.6,125.0,0.093,4.72,7.4,1.29
132.4,460.0,0.013,0.4,8.6,0.47
115.8,170.0,0.172,0.65,32.9,0.47
106.0,215.0,0.003,0.42,5.5,0.43
122.2,150.0,0.025,0.48,2.3,0.22
150.3,365.0,0.009,0.38,7.8,0.46
117.7,195.0,0.012,0.51,3.6,0.31
103.4,390.0,0.005,0.62,26.9,0.47
78.0,165.0,0.008,0.52,1.9,0.26
120.0,490.0,0.009,0.68,6.3,0.46
104.8,395.0,0.005,2.99,2.2,0.38
109.9,150.0,0.009,0.55,38.6,0.47
91.0,420.0,0.006,0.49,1.1,0.17
135.6,400.0,0.082,0.56,8.5,0.48
154.8,95.0,0.007,1.77,15.6,0.51
120.2,120.0,0.021,0.4,4.1,0.29
101.1,310.0,0.006,0.28,16.0,0.47
134.3,200.0,0.001,0.3,8.6,0.47
163.7,230.0,0.131,0.42,3.4,0.29
105.4,320.0,0.003,1.52,6.5,0.49
107.1,190.0,0.027,0.73,39.7,0.47
103.2,150.0,0.008,0.74,19.0,0.47
128.7,135.0,0.006,0.69,12.2,0.45
175.3,130.0,0.012,0.59,3.9,0.32
152.7,190.0,0.008,0.33,9.2,0.47
